========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
179      OK       1605.90 ± 0.69 (1604.69-1606.69)     111.5        12756.8       71.3      26.2%
180      OK       1638.63 ± 0.83 (1637.31-1640.85)     109.8        12770.5       70.9      26.2%
181      OK       1646.76 ± 1.14 (1645.50-1649.70)     109.9        12787.3       70.6      26.3%
182      OK       1652.74 ± 0.44 (1652.13-1653.79)     110.1        12794.1       70.3      26.3%
183      OK       1658.80 ± 1.06 (1657.03-1660.16)     110.3        12809.2       70.0      26.3%
184      OK       1668.23 ± 1.26 (1666.02-1670.92)     110.3        12822.0       69.7      26.3%
185      OK       1663.43 ± 0.97 (1661.26-1664.94)     111.2        12842.6       69.4      26.4%
186      OK       1671.61 ± 1.16 (1670.26-1674.23)     111.3        12843.1       69.0      26.4%
187      OK       1675.48 ± 1.22 (1673.69-1677.76)     111.6        12857.0       68.8      26.4%
188      OK       1687.81 ± 1.07 (1686.55-1689.51)     111.4        12869.5       68.5      26.4%
189      OK       1721.70 ± 1.11 (1720.27-1724.19)     109.8        12880.9       68.2      26.5%
190      OK       1727.68 ± 0.70 (1726.40-1728.67)     110.0        12894.0       67.9      26.5%
191      OK       1730.81 ± 0.99 (1728.99-1732.94)     110.4        12909.9       67.6      26.5%
192      OK       1740.37 ± 1.29 (1738.81-1742.70)     110.3        12920.1       67.3      26.5%
193      OK       1734.51 ± 1.09 (1732.58-1736.39)     111.3        12939.5       67.0      26.6%
194      OK       1742.44 ± 0.66 (1741.70-1743.73)     111.3        12944.9       66.7      26.6%
195      OK       1755.30 ± 0.58 (1754.40-1756.09)     111.1        12954.9       66.4      26.6%
196      OK       1759.11 ± 0.86 (1758.01-1760.54)     111.4        12969.3       66.2      26.6%
197      OK       1795.92 ± 1.19 (1794.37-1797.97)     109.7        12983.1       65.9      26.7%
198      OK       1803.08 ± 1.69 (1801.65-1807.84)     109.8        12993.7       65.6      26.7%
199      OK       1809.88 ± 1.13 (1808.49-1811.69)     110.0        13006.4       65.4      26.7%
200      OK       1816.57 ± 1.08 (1814.92-1818.44)     110.1        13022.3       65.1      26.8%
201      OK       1826.52 ± 1.40 (1824.67-1830.14)     110.0        13038.1       64.9      26.8%
202      OK       1811.76 ± 0.85 (1810.20-1813.77)     111.5        13049.0       64.6      26.8%
203      OK       1825.87 ± 0.78 (1824.79-1826.93)     111.2        13053.3       64.3      26.8%
204      OK       1828.52 ± 0.87 (1827.30-1830.84)     111.6        13067.4       64.1      26.8%
205      OK       1837.14 ± 0.50 (1836.54-1838.22)     111.6        13080.1       63.8      26.9%
