========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
248      OK       120.07 ± 3.03 (113.87-124.08)    2065.4         1579.2        6.4       3.2%
249      OK       121.01 ± 3.99 (111.18-126.54)    2057.7         1585.3        6.4       3.3%
250      OK       121.61 ± 5.94 (113.81-132.31)    2055.7         1590.9        6.4       3.3%
251      OK       122.45 ± 5.95 (114.07-135.88)    2049.8         1596.4        6.4       3.3%
252      OK       122.61 ± 3.91 (115.25-129.33)    2055.4         1602.4        6.4       3.3%
253      OK       106.15 ± 2.52 (104.09-110.64)    2383.5         1610.5        6.4       3.3%
254      OK       106.44 ± 3.82 (104.26-114.45)    2386.4         1614.9        6.4       3.3%
255      OK       106.92 ± 4.36 (104.48-116.05)    2384.9         1620.4        6.4       3.3%
256      OK       107.57 ± 4.58 (104.65-117.09)    2379.9         1627.1        6.4       3.3%
257      OK       108.45 ± 4.60 (106.06-117.74)    2369.8         1632.9        6.4       3.4%
258      OK       107.31 ± 4.79 (101.20-116.83)    2404.3         1638.9        6.4       3.4%
259      OK       108.80 ± 4.78 (105.93-118.38)    2380.5         1643.9        6.3       3.4%
260      OK       109.09 ± 4.52 (106.44-118.12)    2383.3         1651.3        6.4       3.4%
261      OK       110.25 ± 4.83 (106.94-119.23)    2367.3         1656.7        6.3       3.4%
262      OK       109.97 ± 4.53 (107.01-119.03)    2382.5         1662.7        6.3       3.4%
263      OK       110.66 ± 4.58 (108.14-119.93)    2376.5         1668.6        6.3       3.4%
264      OK       112.06 ± 4.97 (108.36-120.11)    2356.0         1673.9        6.3       3.4%
265      OK       111.25 ± 4.44 (108.72-120.24)    2382.1         1679.7        6.3       3.5%
266      OK       111.56 ± 3.73 (109.28-120.86)    2384.3         1686.1        6.3       3.5%
267      OK       112.99 ± 5.40 (109.00-121.47)    2363.1         1692.7        6.3       3.5%
268      OK       111.82 ± 4.55 (109.29-121.03)    2396.7         1697.8        6.3       3.5%
269      OK       113.11 ± 4.78 (109.50-121.75)    2378.2         1703.4        6.3       3.5%
270      OK       112.36 ± 4.28 (109.36-121.11)    2403.0         1710.7        6.3       3.5%
271      OK       113.54 ± 4.72 (110.92-123.25)    2386.7         1715.4        6.3       3.5%
272      OK       115.00 ± 5.46 (111.13-123.85)    2365.2         1721.0        6.3       3.5%
273      OK       113.87 ± 4.57 (111.20-123.10)    2397.5         1727.9        6.3       3.6%
274      OK       132.43 ± 7.94 (123.59-147.88)    2069.0         1734.6        6.3       3.6%
275      OK       133.85 ± 7.26 (124.56-149.10)    2054.6         1740.2        6.3       3.6%
