========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
193      OK       196.23 ± 0.56 (195.76-197.64)     983.5         2373.8       12.3       4.9%
194      OK       197.19 ± 0.55 (196.70-198.43)     983.8         2384.8       12.3       4.9%
195      OK       198.70 ± 0.69 (198.01-200.12)     981.4         2396.8       12.3       4.9%
196      OK       196.82 ± 0.77 (196.14-198.74)     995.9         2409.6       12.3       5.0%
197      OK       200.30 ± 0.33 (199.66-200.76)     983.5         2420.2       12.3       5.0%
198      OK       201.30 ± 0.82 (200.53-203.41)     983.6         2432.6       12.3       5.0%
199      OK       202.18 ± 0.57 (201.65-203.56)     984.3         2444.4       12.3       5.0%
200      OK       201.22 ± 0.91 (200.40-202.93)     993.9         2457.5       12.3       5.0%
201      OK       204.44 ± 0.31 (204.06-204.99)     983.2         2467.8       12.3       5.1%
202      OK       205.19 ± 0.41 (204.58-205.94)     984.4         2478.8       12.3       5.1%
203      OK       206.85 ± 0.75 (206.20-208.86)     981.4         2491.9       12.3       5.1%
204      OK       204.62 ± 0.34 (204.19-205.20)     997.0         2502.2       12.3       5.1%
205      OK       208.07 ± 0.42 (207.62-208.86)     985.3         2515.3       12.3       5.2%
206      OK       208.99 ± 0.39 (208.44-209.62)     985.7         2528.5       12.3       5.2%
207      OK       210.45 ± 0.72 (209.56-212.10)     983.6         2539.4       12.3       5.2%
208      OK       208.79 ± 0.86 (208.10-211.08)     996.2         2551.1       12.3       5.2%
209      OK       212.39 ± 0.43 (211.94-213.54)     984.0         2562.4       12.3       5.3%
210      OK       213.32 ± 0.71 (212.63-215.03)     984.4         2573.1       12.3       5.3%
211      OK       214.08 ± 0.51 (213.57-215.44)     985.6         2584.9       12.3       5.3%
212      OK       212.53 ± 0.63 (211.91-213.77)     997.5         2597.9       12.3       5.3%
213      OK       215.99 ± 0.50 (215.50-217.09)     986.2         2609.2       12.2       5.4%
214      OK       217.11 ± 0.63 (216.47-218.70)     985.7         2621.2       12.2       5.4%
215      OK       217.80 ± 0.41 (217.46-218.76)     987.2         2633.7       12.2       5.4%
216      OK       216.94 ± 0.76 (216.08-218.34)     995.7         2646.3       12.3       5.4%
217      OK       219.94 ± 0.37 (219.56-220.92)     986.6         2656.8       12.2       5.5%
218      OK       220.83 ± 0.45 (220.28-221.90)     987.2         2668.3       12.2       5.5%
219      OK       221.93 ± 0.47 (221.55-223.16)     986.8         2681.6       12.2       5.5%
220      OK       220.20 ± 0.49 (219.67-220.91)     999.1         2692.1       12.2       5.5%
221      OK       224.14 ± 0.57 (223.66-225.66)     986.0         2703.1       12.2       5.6%
222      OK       225.24 ± 0.81 (224.49-227.47)     985.6         2716.1       12.2       5.6%
223      OK       225.90 ± 0.79 (225.17-227.62)     987.2         2726.6       12.2       5.6%
224      OK       224.38 ± 0.77 (223.57-226.10)     998.3         2740.1       12.2       5.6%
225      OK       228.32 ± 0.60 (227.68-229.49)     985.4         2752.4       12.2       5.7%
226      OK       229.16 ± 0.88 (228.38-231.34)     986.2         2763.5       12.2       5.7%
227      OK       230.48 ± 0.88 (229.80-232.84)     984.9         2775.2       12.2       5.7%
228      OK       228.43 ± 0.75 (227.65-230.20)     998.1         2786.2       12.2       5.7%
